Sigla;Código;Município;1991;2000;2010
BA;2913457;Igrapiúna;48.28;43.4;21.24
BA;2913507;Iguaí;42.64;33.46;22.57
BA;2913606;Ilhéus;40.69;20.09;6.86
BA;2913705;Inhambupe;55.74;40.75;21.91
BA;2913804;Ipecaetá;50.84;36.78;31.84
BA;2913903;Ipiaú;39.31;26.7;12.52
BA;2914000;Ipirá;46.21;34.89;19.91
BA;2914109;Ipupiara;47.84;37.21;23.79
BA;2914208;Irajuba;63.56;40.45;22.78
BA;2914307;Iramaia;60;36.7;21.5
BA;2914406;Iraquara;61.65;40.15;32.35
BA;2914505;Irará;49.63;37.58;12.96
BA;2914604;Irecê;29.34;16.93;8.08
BA;2914653;Itabela;58.43;29.17;11.33
BA;2914703;Itaberaba;45.13;26.81;13.34
BA;2914802;Itabuna;29.62;13.88;6.12
BA;2914901;Itacaré;51.44;37.62;16.08
BA;2915007;Itaeté;63.35;50.78;29.65
BA;2915106;Itagi;54.75;35.69;16.45
BA;2915205;Itagibá;57.43;38.21;14.2
BA;2915304;Itagimirim;46.28;12.99;13.74
BA;2915353;Itaguaçu da Bahia;72.79;44.54;22.4
BA;2915403;Itaju do Colônia;61.52;25.19;12.46
BA;2915502;Itajuípe;50.96;29.76;10.53
BA;2915601;Itamaraju;36.96;15.96;9.49
BA;2915700;Itamari;55.27;28.86;15.34
BA;2915809;Itambé;55.77;26.56;7.53
BA;2915908;Itanagra;55.27;33.76;26.94
BA;2916005;Itanhém;39.23;27.53;10.91
BA;2916104;Itaparica;42.85;20.58;13.55
BA;2916203;Itapé;70.34;29.16;13.4
BA;2916302;Itapebi;51.93;28.4;14.63
BA;2916401;Itapetinga;30.53;13.95;2.66
BA;2916500;Itapicuru;48.03;49.73;31.44
BA;2916609;Itapitanga;52.58;34.23;15.75
BA;2916708;Itaquara;58.33;30.07;25.22
BA;2916807;Itarantim;47.11;25.35;6.79
BA;2916856;Itatim;47.38;30.87;18.01
BA;2916906;Itiruçu;44.86;31.65;12.99
BA;2917003;Itiúba;48.77;49.44;34.21
BA;2917102;Itororó;45.94;22.28;8.6
BA;2917201;Ituaçu;46.56;27.79;20.6
BA;2917300;Ituberá;56.23;32.11;11.44
BA;2917334;Iuiú;41.25;41.27;16.12
BA;2917359;Jaborandi;52.53;52.18;33.49
BA;2917409;Jacaraci;47.31;35.25;18.71
BA;2917508;Jacobina;42;27.5;12.95
BA;2917607;Jaguaquara;38.57;28.18;12.81
BA;2917706;Jaguarari;50.17;31.83;22.46
BA;2917805;Jaguaripe;46.92;39.68;23.92
BA;2917904;Jandaíra;49.38;47.77;31.23
BA;2918001;Jequié;38.95;22.42;7.88
BA;2918100;Jeremoabo;39.5;44.68;22.51
BA;2918209;Jiquiriçá;51.44;24.9;18.18
BA;2918308;Jitaúna;50.75;50.02;18.16
BA;2918357;João Dourado;47.92;28.06;16.56
BA;2918407;Juazeiro;27.94;17.5;7.59
BA;2918456;Jucuruçu;58.68;43.23;35.11
BA;2918506;Jussara;60.72;44.29;26.88
BA;2918555;Jussari;57.42;22.97;14.75
BA;2918605;Jussiape;34.01;24.55;13.43
BA;2918704;Lafaiete Coutinho;60.89;31.6;14.73
BA;2918753;Lagoa Real;86.88;42.05;22.93
BA;2918803;Laje;43.61;26.87;22.22
BA;2918902;Lajedão;30.24;16.9;7.36
BA;2919009;Lajedinho;61.53;43.74;31.47
BA;2919058;Lajedo do Tabocal;47.46;31.96;14.58
BA;2919108;Lamarão;63.79;36.13;29.1
BA;2919157;Lapão;46.89;31.69;21.64
BA;2919207;Lauro de Freitas;16.87;10.74;3.48
BA;2919306;Lençóis;41.03;29.23;19.38
BA;2919405;Licínio de Almeida;53.62;34.41;11.11
BA;2919504;Livramento de Nossa Senhora;46.48;25.51;18.58
BA;2919553;Luís Eduardo Magalhães;17.45;4.04;2.92
BA;2919603;Macajuba;52.84;47.99;33.81
BA;2919702;Macarani;51.59;26.45;5.68
BA;2919801;Macaúbas;65.43;42.79;26.87
BA;2919900;Macururé;68.53;41.19;25.61
BA;2919926;Madre de Deus;19.27;8.57;11.92
BA;2919959;Maetinga;53;45.22;19.29
BA;2920007;Maiquinique;53.12;25.71;9.8
BA;2920106;Mairi;53.65;39.55;17.03
BA;2920205;Malhada;62.16;44.6;21.75
BA;2920304;Malhada de Pedras;44.31;46.38;23.18
BA;2920403;Manoel Vitorino;60.74;38.67;26.47
BA;2920452;Mansidão;68.81;62;37.45
BA;2920502;Maracás;40.72;34.61;17.5
BA;2920601;Maragogipe;53.73;31.62;21.34
BA;2920700;Maraú;59.14;42.38;22.23
BA;2920809;Marcionílio Souza;64.39;45.33;26.84
BA;2920908;Mascote;61.81;39.32;24.05
BA;2921005;Mata de São João;33.49;21.13;9.34
BA;2921054;Matina;58.35;58.5;21.47
BA;2921104;Medeiros Neto;28.88;23.65;9.56
BA;2921203;Miguel Calmon;57.51;35.24;21.02
BA;2921302;Milagres;45.38;24.71;18.25
BA;2921401;Mirangaba;58.83;45.62;31.62
BA;2921450;Mirante;43.89;42.32;32.05
BA;2921500;Monte Santo;60.7;55.07;35.11
BA;2921609;Morpará;53.6;43.75;29.89
BA;2921708;Morro do Chapéu;43.09;32.9;20.15
BA;2921807;Mortugaba;50.89;35.7;13.8
BA;2921906;Mucugê;52.14;31.67;18.04
BA;2922003;Mucuri;21.34;16.44;8.52
BA;2922052;Mulungu do Morro;55.72;52.53;28.28
BA;2922102;Mundo Novo;55.12;38.51;22.36
BA;2922201;Muniz Ferreira;46.77;28.02;15.81
BA;2922250;Muquém de São Francisco;57.01;42.37;36.66
BA;2922300;Muritiba;36.92;20.09;12.74
BA;2922409;Mutuípe;49.86;25.19;19.86
BA;2922508;Nazaré;36.61;27.1;15.24
BA;2922607;Nilo Peçanha;40.5;42.51;26.77
BA;2922656;Nordestina;63.14;45.56;35.62
BA;2922706;Nova Canaã;52.64;29.89;17.4
BA;2922730;Nova Fátima;32.9;20.07;11.06
BA;2922755;Nova Ibiá;48.32;26.78;8.09
BA;2922805;Nova Itarana;56.33;41.45;34.83
BA;2922854;Nova Redenção;56.46;36.78;26.18
BA;2922904;Nova Soure;49.13;44.3;27.98
BA;2923001;Nova Viçosa;24.05;26.42;11.89
BA;2923035;Novo Horizonte;36.04;31.14;28.89
BA;2923050;Novo Triunfo;65.23;47.52;28.82
BA;2923100;Olindina;54.85;37.31;34.3
BA;2923209;Oliveira dos Brejinhos;64.04;50.05;32.29
BA;2923308;Ouriçangas;41.7;37.85;10.59
BA;2923357;Ourolândia;59.78;47.57;23.18
BA;2923407;Palmas de Monte Alto;44.69;47.06;19.45
BA;2923506;Palmeiras;46.1;30.3;17.24
BA;2923605;Paramirim;54.74;27.38;14.89
BA;2923704;Paratinga;65.68;58.98;30.09
BA;2923803;Paripiranga;35.4;30.74;29.15
BA;2923902;Pau Brasil;51.79;30.4;22.52
BA;2924009;Paulo Afonso;22.34;19.13;10.26
BA;2924058;Pé de Serra;52.96;44.45;17.43
BA;2924108;Pedrão;45.01;41.76;20.91
BA;2924207;Pedro Alexandre;64.25;49.83;33.42
BA;2924306;Piatã;60.62;41.35;29.92
BA;2924405;Pilão Arcado;76.96;57.98;40.9
BA;2924504;Pindaí;52.76;35.6;18.52
BA;2924603;Pindobaçu;66.51;41.28;27.54
BA;2924652;Pintadas;47.85;34.79;17.55
BA;2924678;Piraí do Norte;46.6;39.09;20.16
BA;2924702;Piripá;45.08;33.06;21.83
BA;2924801;Piritiba;55.84;34.74;19.38
BA;2924900;Planaltino;50.26;36.88;21.89
BA;2925006;Planalto;45.58;26;16.4
BA;2925105;Poções;43.16;33.4;18.66
BA;2925204;Pojuca;23;16.97;8.95
BA;2925253;Ponto Novo;67.23;44.87;22.85
BA;2925303;Porto Seguro;38.48;14.92;7.33
BA;2925402;Potiraguá;49.28;34.13;9.84
BA;2925501;Prado;43.86;25.53;14.47
BA;2925600;Presidente Dutra;50.28;35.36;18.85
BA;2925709;Presidente Jânio Quadros;49.91;40.58;30.34
BA;2925758;Presidente Tancredo Neves;52.64;32.95;20.75
BA;2925808;Queimadas;55.04;37.89;22.8
BA;2925907;Quijingue;67.07;56;33.8
BA;2925931;Quixabeira;62.14;45.02;23.09
BA;2925956;Rafael Jambeiro;52.29;48.69;25.44
BA;2926004;Remanso;52.97;34.51;25.6
BA;2926103;Retirolândia;48.73;26.95;11.39
BA;2926202;Riachão das Neves;48.84;45.27;30.92
BA;2926301;Riachão do Jacuípe;41.59;26.46;12.44
BA;2926400;Riacho de Santana;56.19;46.38;24.42
BA;2926509;Ribeira do Amparo;59.85;40.4;33.96
