Sigla	Código	Município	1991	2000	2010
BA	2922003	Mucuri	54.87	43.66	22.95
BA	2922052	Mulungu do Morro	81.72	76.68	49.91
BA	2922102	Mundo Novo	84.36	62.68	41.77
BA	2922201	Muniz Ferreira	75.69	65.18	33.95
BA	2922250	Muquém de São Francisco	85.85	68.24	59.01
BA	2922300	Muritiba	63.89	47.23	26.53
BA	2922409	Mutuípe	75.83	53.25	40.5
BA	2922508	Nazaré	65.24	54.06	34.19
BA	2922607	Nilo Peçanha	75.09	67.42	48.88
BA	2922656	Nordestina	89.28	74.52	54.61
BA	2922706	Nova Canaã	78.17	64.62	36.62
BA	2922730	Nova Fátima	58.63	52.9	28.65
BA	2922755	Nova Ibiá	78.25	64.93	31.18
BA	2922805	Nova Itarana	85.1	72.11	55.04
BA	2922854	Nova Redenção	86.7	65.61	46.88
BA	2922904	Nova Soure	75.76	69.25	50.39
BA	2923001	Nova Viçosa	55.59	52.13	26.17
BA	2923035	Novo Horizonte	62.67	54.76	46.08
BA	2923050	Novo Triunfo	89.51	69.46	51.25
BA	2923100	Olindina	81.94	67.22	52.64
BA	2923209	Oliveira dos Brejinhos	88.74	70.24	47.07
BA	2923308	Ouriçangas	75.72	67.25	32.58
BA	2923357	Ourolândia	84.28	73.61	44.6
BA	2923407	Palmas de Monte Alto	78.17	72.26	41.14
BA	2923506	Palmeiras	76.78	53.74	38.11
BA	2923605	Paramirim	83.44	51.68	30.95
BA	2923704	Paratinga	87.54	78.43	51.6
BA	2923803	Paripiranga	65.72	55.54	46.78
BA	2923902	Pau Brasil	80.98	60.72	41.5
BA	2924009	Paulo Afonso	47.96	41.05	22.69
BA	2924058	Pé de Serra	85.9	67.79	35.54
BA	2924108	Pedrão	74.89	73.13	44.72
BA	2924207	Pedro Alexandre	88.13	77.15	56.17
BA	2924306	Piatã	88.08	64.22	46.46
BA	2924405	Pilão Arcado	93.12	75.42	55.56
BA	2924504	Pindaí	82.35	56.95	31.53
BA	2924603	Pindobaçu	88.28	67.9	46.36
BA	2924652	Pintadas	77.62	56.87	34.7
BA	2924678	Piraí do Norte	73.92	71.71	42.52
BA	2924702	Piripá	76.03	59.67	41.13
BA	2924801	Piritiba	85.28	63.61	42.43
BA	2924900	Planaltino	82.55	63.44	42.02
BA	2925006	Planalto	80.86	57.07	37.1
BA	2925105	Poções	73.23	57.92	38.45
BA	2925204	Pojuca	50.08	42.98	21.62
BA	2925253	Ponto Novo	88.71	72.19	42.69
BA	2925303	Porto Seguro	64.55	37.89	19.78
BA	2925402	Potiraguá	80.85	67.11	27.83
BA	2925501	Prado	75.79	52.64	29.81
BA	2925600	Presidente Dutra	77.95	61.04	41.11
BA	2925709	Presidente Jânio Quadros	80.9	61.74	49.92
BA	2925758	Presidente Tancredo Neves	83.99	61.86	42.47
BA	2925808	Queimadas	85.27	67.44	43.24
BA	2925907	Quijingue	90.52	75.69	50.84
BA	2925931	Quixabeira	87.25	69.42	44.39
BA	2925956	Rafael Jambeiro	82.58	72.72	45.52
BA	2926004	Remanso	81.1	59.98	42.6
BA	2926103	Retirolândia	81.15	57.11	31.79
BA	2926202	Riachão das Neves	83.59	73.72	47.3
BA	2926301	Riachão do Jacuípe	71.71	56.03	28.11
BA	2926400	Riacho de Santana	83.48	71.51	43
BA	2926509	Ribeira do Amparo	86.16	72.02	55.7
